id,texto,texto_preprocesado,sentimiento,prediccion_naive_bayes,prediccion_logistic_regression
690,La entrega se muestra en el panel,la entrega se muestra en el panel,neutral,neutral,neutral
1307,La herramienta se interrumpio sin aviso,la herramienta se interrumpio sin aviso,negativo,negativo,negativo
1264,La respuesta dejo una mala impresion,la respuesta dejo una mala impresion,negativo,negativo,negativo
977,La notificacion se encuentra en revision,la notificacion se encuentra en revision,neutral,neutral,neutral
1,El servicio fue excelente y clara,el servicio fue excelente y clara,positivo,positivo,positivo
504,El pedido fue recibido correctamente,el pedido fue recibido correctamente,neutral,neutral,neutral
386,La guia fue precisa y oportuna,la guia fue precisa y oportuna,positivo,positivo,positivo
265,La respuesta fue confiable durante el uso,la respuesta fue confiable durante el uso,positivo,positivo,positivo
785,La plataforma mantiene estado activo,la plataforma mantiene estado activo,neutral,neutral,neutral
273,La respuesta fue simple y practica,la respuesta fue simple y practica,positivo,positivo,positivo
1059,El producto genero mucha confusion,el producto genero mucha confusion,negativo,negativo,negativo
76,La entrega fue excelente y clara,la entrega fue excelente y clara,positivo,positivo,positivo
1474,La orientacion entrego informacion insuficiente,la orientacion entrego informacion insuficiente,negativo,negativo,negativo
1218,El proceso fue fria y poco clara,el proceso fue fria y poco clara,negativo,negativo,negativo
758,El archivo fue actualizado en la plataforma,el archivo fue actualizado en la plataforma,neutral,neutral,neutral
1436,El reporte fue incompleta y tardia,el reporte fue incompleta y tardia,negativo,negativo,negativo
786,La plataforma fue clasificado para revision,la plataforma fue clasificado para revision,neutral,neutral,neutral
137,La plataforma ayudo a resolver la duda,la plataforma ayudo a resolver la duda,positivo,negativo,positivo
668,La consulta contiene una descripcion breve,la consulta contiene una descripcion breve,neutral,neutral,neutral
132,La plataforma se completo sin inconvenientes,la plataforma se completo sin inconvenientes,positivo,positivo,positivo
1500,La gestion mostro un desempeno inestable,la gestion mostro un desempeno inestable,negativo,negativo,negativo
1360,La experiencia tuvo baja calidad,la experiencia tuvo baja calidad,negativo,negativo,negativo
1051,El producto fue lento y confuso,el producto fue lento y confuso,negativo,negativo,negativo
267,La respuesta mejoro la experiencia general,la respuesta mejoro la experiencia general,positivo,positivo,positivo
1122,El soporte se gestiono incorrectamente,el soporte se gestiono incorrectamente,negativo,negativo,negativo
139,La plataforma dejo una buena impresion,la plataforma dejo una buena impresion,positivo,positivo,positivo
35,La atencion mantuvo buena calidad,la atencion mantuvo buena calidad,positivo,positivo,positivo
1344,El pedido impidio avanzar correctamente,el pedido impidio avanzar correctamente,negativo,negativo,negativo
687,La entrega esta programado para seguimiento,la entrega esta programado para seguimiento,neutral,neutral,neutral
1022,El servicio se gestiono incorrectamente,el servicio se gestiono incorrectamente,negativo,negativo,negativo
1213,El proceso se desarrollo con demoras,el proceso se desarrollo con demoras,negativo,negativo,negativo
382,La guia se completo sin inconvenientes,la guia se completo sin inconvenientes,positivo,positivo,positivo
664,La consulta incluye datos descriptivos,la consulta incluye datos descriptivos,neutral,neutral,neutral
5,El servicio fue rapida y ordenada,el servicio fue rapida y ordenada,positivo,positivo,positivo
1364,La experiencia dejo una mala impresion,la experiencia dejo una mala impresion,negativo,negativo,negativo
329,El pedido resulto muy satisfactoria,el pedido resulto muy satisfactoria,positivo,positivo,positivo
768,El archivo contiene una descripcion breve,el archivo contiene una descripcion breve,neutral,neutral,neutral
288,El tramite se desarrollo con eficiencia,el tramite se desarrollo con eficiencia,positivo,positivo,positivo
861,El registro fue clasificado para revision,el registro fue clasificado para revision,neutral,neutral,neutral
1271,La respuesta llego en mal estado,la respuesta llego en mal estado,negativo,negativo,negativo
321,La herramienta llego en buen estado,la herramienta llego en buen estado,positivo,positivo,positivo
519,El pedido se encuentra en la lista,el pedido se encuentra en la lista,neutral,neutral,neutral
777,La plataforma se encuentra en revision,la plataforma se encuentra en revision,neutral,neutral,neutral
1106,El soporte no cumplio lo esperado,el soporte no cumplio lo esperado,negativo,negativo,negativo
894,La informacion se encuentra en la lista,la informacion se encuentra en la lista,neutral,neutral,neutral
78,La entrega supero las expectativas,la entrega supero las expectativas,positivo,positivo,positivo
937,La respuesta esta programado para seguimiento,la respuesta esta programado para seguimiento,neutral,neutral,neutral
376,La guia fue excelente y clara,la guia fue excelente y clara,positivo,positivo,positivo
1270,La respuesta tuvo un resultado negativo,la respuesta tuvo un resultado negativo,negativo,negativo,negativo
113,El soporte se desarrollo con eficiencia,el soporte se desarrollo con eficiencia,positivo,positivo,positivo
575,El producto se mantiene sin novedad,el producto se mantiene sin novedad,neutral,neutral,neutral
1265,La respuesta fue poco confiable durante el uso,la respuesta fue poco confiable durante el uso,negativo,negativo,negativo
293,El tramite fue amable y profesional,el tramite fue amable y profesional,positivo,positivo,positivo
125,El soporte mostro un desempeno estable,el soporte mostro un desempeno estable,positivo,positivo,positivo
543,La solicitud contiene una descripcion breve,la solicitud contiene una descripcion breve,neutral,neutral,neutral
647,El documento continua abierto en el sistema,el documento continua abierto en el sistema,neutral,neutral,neutral
1351,La experiencia fue lento y confuso,la experiencia fue lento y confuso,negativo,negativo,negativo
1107,El soporte se interrumpio sin aviso,el soporte se interrumpio sin aviso,negativo,negativo,negativo
1044,La atencion impidio avanzar correctamente,la atencion impidio avanzar correctamente,negativo,negativo,negativo
