id,texto,sentimiento,fuente,version
1,no estuvo mal y termino ayudando,positivo,augmented,v2_augmented
2,tuvo una demora pequena pero salio bien,positivo,augmented,v2_augmented
3,resolvio lo principal sin tanta vuelta,positivo,augmented,v2_augmented
4,me dejo una impresion bastante buena,positivo,augmented,v2_augmented
5,funciono mejor de lo que esperaba,positivo,augmented,v2_augmented
6,fue claro cuando mas lo necesitaba,positivo,augmented,v2_augmented
7,avanzo lento al inicio pero cerro bien,positivo,augmented,v2_augmented
8,me permitio completar la tarea sin problema,positivo,augmented,v2_augmented
9,la respuesta fue corta pero util,positivo,augmented,v2_augmented
10,el resultado quedo correcto,positivo,augmented,v2_augmented
11,la guia aclaro casi todas mis dudas,positivo,augmented,v2_augmented
12,la plataforma respondio de forma estable,positivo,augmented,v2_augmented
13,el pedido llego completo y cuidado,positivo,augmented,v2_augmented
14,el soporte entendio la situacion,positivo,augmented,v2_augmented
15,la gestion fue simple y ordenada,positivo,augmented,v2_augmented
16,el proceso se sintio confiable,positivo,augmented,v2_augmented
17,la informacion fue suficiente para decidir,positivo,augmented,v2_augmented
18,la compra fue tranquila hasta el cierre,positivo,augmented,v2_augmented
19,el producto cumplio con lo necesario,positivo,augmented,v2_augmented
20,la entrega estuvo dentro de lo esperado,positivo,augmented,v2_augmented
21,la atencion fue amable sin exagerar,positivo,augmented,v2_augmented
22,el sistema guardo todo correctamente,positivo,augmented,v2_augmented
23,la solucion fue sencilla y efectiva,positivo,augmented,v2_augmented
24,el panel facilito revisar el avance,positivo,augmented,v2_augmented
25,el seguimiento llego a tiempo,positivo,augmented,v2_augmented
26,la experiencia resulto comoda,positivo,augmented,v2_augmented
27,la respuesta aclaro el punto clave,positivo,augmented,v2_augmented
28,el tramite quedo resuelto,positivo,augmented,v2_augmented
29,el servicio mantuvo buen ritmo,positivo,augmented,v2_augmented
30,la herramienta simplifico el trabajo,positivo,augmented,v2_augmented
31,el mensaje de confirmacion fue suficiente,positivo,augmented,v2_augmented
32,la revision ayudo a corregir la duda,positivo,augmented,v2_augmented
33,el flujo fue facil de seguir,positivo,augmented,v2_augmented
34,el cambio solicitado quedo aplicado,positivo,augmented,v2_augmented
35,la comunicacion fue adecuada,positivo,augmented,v2_augmented
36,el resultado fue util para continuar,positivo,augmented,v2_augmented
37,la plataforma permitio terminar rapido,positivo,augmented,v2_augmented
38,el producto funciono desde el primer uso,positivo,augmented,v2_augmented
39,la asesoria fue practica,positivo,augmented,v2_augmented
40,el estado se actualizo correctamente,positivo,augmented,v2_augmented
41,no me disgusto el resultado final,positivo,augmented,v2_augmented
42,no tuve inconvenientes importantes,positivo,augmented,v2_augmented
43,pudo mejorar detalles pero cumplio,positivo,augmented,v2_augmented
44,la espera valio la pena,positivo,augmented,v2_augmented
45,me sirvio para resolver la solicitud,positivo,augmented,v2_augmented
46,fue mejor que la opcion anterior,positivo,augmented,v2_augmented
47,la explicacion quedo entendible,positivo,augmented,v2_augmented
48,el pedido se manejo con cuidado,positivo,augmented,v2_augmented
49,la herramienta respondio sin fallar,positivo,augmented,v2_augmented
50,la experiencia cerro de forma positiva,positivo,augmented,v2_augmented
51,"La verdad, no estuvo mal y termino ayudando",positivo,augmented,v2_augmented
52,"La verdad, tuvo una demora pequena pero salio bien",positivo,augmented,v2_augmented
53,"La verdad, resolvio lo principal sin tanta vuelta",positivo,augmented,v2_augmented
54,"La verdad, me dejo una impresion bastante buena",positivo,augmented,v2_augmented
55,"La verdad, funciono mejor de lo que esperaba",positivo,augmented,v2_augmented
56,"La verdad, fue claro cuando mas lo necesitaba",positivo,augmented,v2_augmented
57,"La verdad, avanzo lento al inicio pero cerro bien",positivo,augmented,v2_augmented
58,"La verdad, me permitio completar la tarea sin problema",positivo,augmented,v2_augmented
59,"La verdad, la respuesta fue corta pero util",positivo,augmented,v2_augmented
60,"La verdad, el resultado quedo correcto",positivo,augmented,v2_augmented
61,"La verdad, la guia aclaro casi todas mis dudas",positivo,augmented,v2_augmented
62,"La verdad, la plataforma respondio de forma estable",positivo,augmented,v2_augmented
63,"La verdad, el pedido llego completo y cuidado",positivo,augmented,v2_augmented
64,"La verdad, el soporte entendio la situacion",positivo,augmented,v2_augmented
65,"La verdad, la gestion fue simple y ordenada",positivo,augmented,v2_augmented
66,"La verdad, el proceso se sintio confiable",positivo,augmented,v2_augmented
67,"La verdad, la informacion fue suficiente para decidir",positivo,augmented,v2_augmented
68,"La verdad, la compra fue tranquila hasta el cierre",positivo,augmented,v2_augmented
69,"La verdad, el producto cumplio con lo necesario",positivo,augmented,v2_augmented
70,"La verdad, la entrega estuvo dentro de lo esperado",positivo,augmented,v2_augmented
71,"La verdad, la atencion fue amable sin exagerar",positivo,augmented,v2_augmented
72,"La verdad, el sistema guardo todo correctamente",positivo,augmented,v2_augmented
73,"La verdad, la solucion fue sencilla y efectiva",positivo,augmented,v2_augmented
74,"La verdad, el panel facilito revisar el avance",positivo,augmented,v2_augmented
75,"La verdad, el seguimiento llego a tiempo",positivo,augmented,v2_augmented
76,"La verdad, la experiencia resulto comoda",positivo,augmented,v2_augmented
77,"La verdad, la respuesta aclaro el punto clave",positivo,augmented,v2_augmented
78,"La verdad, el tramite quedo resuelto",positivo,augmented,v2_augmented
79,"La verdad, el servicio mantuvo buen ritmo",positivo,augmented,v2_augmented
80,"La verdad, la herramienta simplifico el trabajo",positivo,augmented,v2_augmented
81,"La verdad, el mensaje de confirmacion fue suficiente",positivo,augmented,v2_augmented
82,"La verdad, la revision ayudo a corregir la duda",positivo,augmented,v2_augmented
83,"La verdad, el flujo fue facil de seguir",positivo,augmented,v2_augmented
84,"La verdad, el cambio solicitado quedo aplicado",positivo,augmented,v2_augmented
85,"La verdad, la comunicacion fue adecuada",positivo,augmented,v2_augmented
86,"La verdad, el resultado fue util para continuar",positivo,augmented,v2_augmented
87,"La verdad, la plataforma permitio terminar rapido",positivo,augmented,v2_augmented
88,"La verdad, el producto funciono desde el primer uso",positivo,augmented,v2_augmented
89,"La verdad, la asesoria fue practica",positivo,augmented,v2_augmented
90,"La verdad, el estado se actualizo correctamente",positivo,augmented,v2_augmented
91,"La verdad, no me disgusto el resultado final",positivo,augmented,v2_augmented
92,"La verdad, no tuve inconvenientes importantes",positivo,augmented,v2_augmented
93,"La verdad, pudo mejorar detalles pero cumplio",positivo,augmented,v2_augmented
94,"La verdad, la espera valio la pena",positivo,augmented,v2_augmented
95,"La verdad, me sirvio para resolver la solicitud",positivo,augmented,v2_augmented
96,"La verdad, fue mejor que la opcion anterior",positivo,augmented,v2_augmented
97,"La verdad, la explicacion quedo entendible",positivo,augmented,v2_augmented
98,"La verdad, el pedido se manejo con cuidado",positivo,augmented,v2_augmented
99,"La verdad, la herramienta respondio sin fallar",positivo,augmented,v2_augmented
100,"La verdad, la experiencia cerro de forma positiva",positivo,augmented,v2_augmented
101,"En general, no estuvo mal y termino ayudando",positivo,augmented,v2_augmented
102,"En general, tuvo una demora pequena pero salio bien",positivo,augmented,v2_augmented
103,"En general, resolvio lo principal sin tanta vuelta",positivo,augmented,v2_augmented
104,"En general, me dejo una impresion bastante buena",positivo,augmented,v2_augmented
105,"En general, funciono mejor de lo que esperaba",positivo,augmented,v2_augmented
106,"En general, fue claro cuando mas lo necesitaba",positivo,augmented,v2_augmented
107,"En general, avanzo lento al inicio pero cerro bien",positivo,augmented,v2_augmented
108,"En general, me permitio completar la tarea sin problema",positivo,augmented,v2_augmented
109,"En general, la respuesta fue corta pero util",positivo,augmented,v2_augmented
110,"En general, el resultado quedo correcto",positivo,augmented,v2_augmented
111,"En general, la guia aclaro casi todas mis dudas",positivo,augmented,v2_augmented
112,"En general, la plataforma respondio de forma estable",positivo,augmented,v2_augmented
113,"En general, el pedido llego completo y cuidado",positivo,augmented,v2_augmented
114,"En general, el soporte entendio la situacion",positivo,augmented,v2_augmented
115,"En general, la gestion fue simple y ordenada",positivo,augmented,v2_augmented
116,"En general, el proceso se sintio confiable",positivo,augmented,v2_augmented
117,"En general, la informacion fue suficiente para decidir",positivo,augmented,v2_augmented
118,"En general, la compra fue tranquila hasta el cierre",positivo,augmented,v2_augmented
119,"En general, el producto cumplio con lo necesario",positivo,augmented,v2_augmented
120,"En general, la entrega estuvo dentro de lo esperado",positivo,augmented,v2_augmented
121,"En general, la atencion fue amable sin exagerar",positivo,augmented,v2_augmented
122,"En general, el sistema guardo todo correctamente",positivo,augmented,v2_augmented
123,"En general, la solucion fue sencilla y efectiva",positivo,augmented,v2_augmented
124,"En general, el panel facilito revisar el avance",positivo,augmented,v2_augmented
125,"En general, el seguimiento llego a tiempo",positivo,augmented,v2_augmented
126,"En general, la experiencia resulto comoda",positivo,augmented,v2_augmented
127,"En general, la respuesta aclaro el punto clave",positivo,augmented,v2_augmented
128,"En general, el tramite quedo resuelto",positivo,augmented,v2_augmented
129,"En general, el servicio mantuvo buen ritmo",positivo,augmented,v2_augmented
130,"En general, la herramienta simplifico el trabajo",positivo,augmented,v2_augmented
131,"En general, el mensaje de confirmacion fue suficiente",positivo,augmented,v2_augmented
132,"En general, la revision ayudo a corregir la duda",positivo,augmented,v2_augmented
133,"En general, el flujo fue facil de seguir",positivo,augmented,v2_augmented
134,"En general, el cambio solicitado quedo aplicado",positivo,augmented,v2_augmented
135,"En general, la comunicacion fue adecuada",positivo,augmented,v2_augmented
136,"En general, el resultado fue util para continuar",positivo,augmented,v2_augmented
137,"En general, la plataforma permitio terminar rapido",positivo,augmented,v2_augmented
138,"En general, el producto funciono desde el primer uso",positivo,augmented,v2_augmented
139,"En general, la asesoria fue practica",positivo,augmented,v2_augmented
140,"En general, el estado se actualizo correctamente",positivo,augmented,v2_augmented
141,"En general, no me disgusto el resultado final",positivo,augmented,v2_augmented
142,"En general, no tuve inconvenientes importantes",positivo,augmented,v2_augmented
143,"En general, pudo mejorar detalles pero cumplio",positivo,augmented,v2_augmented
144,"En general, la espera valio la pena",positivo,augmented,v2_augmented
