id,texto,sentimiento,fuente,version
1,El servicio fue excelente y clara,positivo,manual,v2
2,El servicio funciono de manera correcta,positivo,manual,v2
3,El servicio supero las expectativas,positivo,manual,v2
4,El servicio resulto muy satisfactoria,positivo,manual,v2
5,El servicio fue rapida y ordenada,positivo,manual,v2
6,El servicio cumplio lo prometido,positivo,manual,v2
7,El servicio se completo sin inconvenientes,positivo,manual,v2
8,El servicio fue facil de entender,positivo,manual,v2
9,El servicio ofrecio una solucion util,positivo,manual,v2
10,El servicio mantuvo buena calidad,positivo,manual,v2
11,El servicio fue precisa y oportuna,positivo,manual,v2
12,El servicio ayudo a resolver la duda,positivo,manual,v2
13,El servicio se desarrollo con eficiencia,positivo,manual,v2
14,El servicio dejo una buena impresion,positivo,manual,v2
15,El servicio fue confiable durante el uso,positivo,manual,v2
16,El servicio respondio de forma adecuada,positivo,manual,v2
17,El servicio mejoro la experiencia general,positivo,manual,v2
18,El servicio fue amable y profesional,positivo,manual,v2
19,El servicio permitio avanzar sin problemas,positivo,manual,v2
20,El servicio tuvo un resultado positivo,positivo,manual,v2
21,El servicio llego en buen estado,positivo,manual,v2
22,El servicio se gestiono correctamente,positivo,manual,v2
23,El servicio fue simple y practica,positivo,manual,v2
24,El servicio entrego informacion completa,positivo,manual,v2
25,El servicio mostro un desempeno estable,positivo,manual,v2
26,La atencion fue excelente y clara,positivo,manual,v2
27,La atencion funciono de manera correcta,positivo,manual,v2
28,La atencion supero las expectativas,positivo,manual,v2
29,La atencion resulto muy satisfactoria,positivo,manual,v2
30,La atencion fue rapida y ordenada,positivo,manual,v2
31,La atencion cumplio lo prometido,positivo,manual,v2
32,La atencion se completo sin inconvenientes,positivo,manual,v2
33,La atencion fue facil de entender,positivo,manual,v2
34,La atencion ofrecio una solucion util,positivo,manual,v2
35,La atencion mantuvo buena calidad,positivo,manual,v2
36,La atencion fue precisa y oportuna,positivo,manual,v2
37,La atencion ayudo a resolver la duda,positivo,manual,v2
38,La atencion se desarrollo con eficiencia,positivo,manual,v2
39,La atencion dejo una buena impresion,positivo,manual,v2
40,La atencion fue confiable durante el uso,positivo,manual,v2
41,La atencion respondio de forma adecuada,positivo,manual,v2
42,La atencion mejoro la experiencia general,positivo,manual,v2
43,La atencion fue amable y profesional,positivo,manual,v2
44,La atencion permitio avanzar sin problemas,positivo,manual,v2
45,La atencion tuvo un resultado positivo,positivo,manual,v2
46,La atencion llego en buen estado,positivo,manual,v2
47,La atencion se gestiono correctamente,positivo,manual,v2
48,La atencion fue simple y practica,positivo,manual,v2
49,La atencion entrego informacion completa,positivo,manual,v2
50,La atencion mostro un desempeno estable,positivo,manual,v2
51,El producto fue excelente y clara,positivo,manual,v2
52,El producto funciono de manera correcta,positivo,manual,v2
53,El producto supero las expectativas,positivo,manual,v2
54,El producto resulto muy satisfactoria,positivo,manual,v2
55,El producto fue rapida y ordenada,positivo,manual,v2
56,El producto cumplio lo prometido,positivo,manual,v2
57,El producto se completo sin inconvenientes,positivo,manual,v2
58,El producto fue facil de entender,positivo,manual,v2
59,El producto ofrecio una solucion util,positivo,manual,v2
60,El producto mantuvo buena calidad,positivo,manual,v2
61,El producto fue precisa y oportuna,positivo,manual,v2
62,El producto ayudo a resolver la duda,positivo,manual,v2
63,El producto se desarrollo con eficiencia,positivo,manual,v2
64,El producto dejo una buena impresion,positivo,manual,v2
65,El producto fue confiable durante el uso,positivo,manual,v2
66,El producto respondio de forma adecuada,positivo,manual,v2
67,El producto mejoro la experiencia general,positivo,manual,v2
68,El producto fue amable y profesional,positivo,manual,v2
69,El producto permitio avanzar sin problemas,positivo,manual,v2
70,El producto tuvo un resultado positivo,positivo,manual,v2
71,El producto llego en buen estado,positivo,manual,v2
72,El producto se gestiono correctamente,positivo,manual,v2
73,El producto fue simple y practica,positivo,manual,v2
74,El producto entrego informacion completa,positivo,manual,v2
75,El producto mostro un desempeno estable,positivo,manual,v2
76,La entrega fue excelente y clara,positivo,manual,v2
77,La entrega funciono de manera correcta,positivo,manual,v2
78,La entrega supero las expectativas,positivo,manual,v2
79,La entrega resulto muy satisfactoria,positivo,manual,v2
80,La entrega fue rapida y ordenada,positivo,manual,v2
81,La entrega cumplio lo prometido,positivo,manual,v2
82,La entrega se completo sin inconvenientes,positivo,manual,v2
83,La entrega fue facil de entender,positivo,manual,v2
84,La entrega ofrecio una solucion util,positivo,manual,v2
85,La entrega mantuvo buena calidad,positivo,manual,v2
86,La entrega fue precisa y oportuna,positivo,manual,v2
87,La entrega ayudo a resolver la duda,positivo,manual,v2
88,La entrega se desarrollo con eficiencia,positivo,manual,v2
89,La entrega dejo una buena impresion,positivo,manual,v2
90,La entrega fue confiable durante el uso,positivo,manual,v2
91,La entrega respondio de forma adecuada,positivo,manual,v2
92,La entrega mejoro la experiencia general,positivo,manual,v2
93,La entrega fue amable y profesional,positivo,manual,v2
94,La entrega permitio avanzar sin problemas,positivo,manual,v2
95,La entrega tuvo un resultado positivo,positivo,manual,v2
96,La entrega llego en buen estado,positivo,manual,v2
97,La entrega se gestiono correctamente,positivo,manual,v2
98,La entrega fue simple y practica,positivo,manual,v2
99,La entrega entrego informacion completa,positivo,manual,v2
100,La entrega mostro un desempeno estable,positivo,manual,v2
101,El soporte fue excelente y clara,positivo,manual,v2
102,El soporte funciono de manera correcta,positivo,manual,v2
103,El soporte supero las expectativas,positivo,manual,v2
104,El soporte resulto muy satisfactoria,positivo,manual,v2
105,El soporte fue rapida y ordenada,positivo,manual,v2
106,El soporte cumplio lo prometido,positivo,manual,v2
107,El soporte se completo sin inconvenientes,positivo,manual,v2
108,El soporte fue facil de entender,positivo,manual,v2
109,El soporte ofrecio una solucion util,positivo,manual,v2
110,El soporte mantuvo buena calidad,positivo,manual,v2
111,El soporte fue precisa y oportuna,positivo,manual,v2
112,El soporte ayudo a resolver la duda,positivo,manual,v2
113,El soporte se desarrollo con eficiencia,positivo,manual,v2
114,El soporte dejo una buena impresion,positivo,manual,v2
115,El soporte fue confiable durante el uso,positivo,manual,v2
116,El soporte respondio de forma adecuada,positivo,manual,v2
117,El soporte mejoro la experiencia general,positivo,manual,v2
118,El soporte fue amable y profesional,positivo,manual,v2
119,El soporte permitio avanzar sin problemas,positivo,manual,v2
