id,texto,sentimiento
1,Amazing experience with the service,positivo
2,I would not recommend it,negativo
3,The file was uploaded successfully,neutral
4,Highly recommend this tool,positivo
5,Poor customer service,negativo
6,Documentation has been updated,neutral
7,Highly recommend this tool,positivo
8,Terrible experience,negativo
9,System maintenance will occur tonight,neutral
10,Great support from the team,positivo
11,Too many bugs and errors,negativo
12,Version 2.1 is now available,neutral
13,I love this product,positivo
14,It made my work harder,negativo
15,The project deadline is next Monday,neutral
16,Amazing experience with the service,positivo
17,Very disappointed with the performance,negativo
18,The meeting is scheduled for 10 AM,neutral
19,Truly a game changer,positivo
20,Extremely slow and unresponsive,negativo
21,Documentation has been updated,neutral
22,Everything works perfectly,positivo
23,Extremely slow and unresponsive,negativo
24,System maintenance will occur tonight,neutral
25,Highly recommend this tool,positivo
26,This is the worst tool I've used,negativo
27,The file was uploaded successfully,neutral
28,Very satisfied with the quality,positivo
29,I would not recommend it,negativo
30,User logged in from a new device,neutral
31,Truly a game changer,positivo
32,Keeps crashing every time,negativo
33,System maintenance will occur tonight,neutral
34,The performance is outstanding,positivo
35,It made my work harder,negativo
36,Documentation has been updated,neutral
37,The performance is outstanding,positivo
38,Too many bugs and errors,negativo
39,The server uptime is 99.9%,neutral
40,Excellent usability and speed,positivo
41,Extremely slow and unresponsive,negativo
42,This update includes bug fixes,neutral
43,Everything works perfectly,positivo
44,Very disappointed with the performance,negativo
45,The file was uploaded successfully,neutral
46,Highly recommend this tool,positivo
47,Not user friendly at all,negativo
48,No major changes were introduced,neutral
49,Everything works perfectly,positivo
50,This is the worst tool I've used,negativo
51,No major changes were introduced,neutral
52,Great support from the team,positivo
53,Too many bugs and errors,negativo
54,Version 2.1 is now available,neutral
55,Amazing experience with the service,positivo
56,Not user friendly at all,negativo
57,Documentation has been updated,neutral
58,Highly recommend this tool,positivo
59,Terrible experience,negativo
60,Version 2.1 is now available,neutral
61,Very satisfied with the quality,positivo
62,Extremely slow and unresponsive,negativo
63,No major changes were introduced,neutral
64,Very satisfied with the quality,positivo
65,It made my work harder,negativo
66,The project deadline is next Monday,neutral
67,I love this product,positivo
68,Extremely slow and unresponsive,negativo
69,The meeting is scheduled for 10 AM,neutral
70,Amazing experience with the service,positivo
71,Very disappointed with the performance,negativo
72,Version 2.1 is now available,neutral
73,Truly a game changer,positivo
74,I would not recommend it,negativo
75,Documentation has been updated,neutral
76,Great support from the team,positivo
77,This is the worst tool I've used,negativo
78,The server uptime is 99.9%,neutral
79,Everything works perfectly,positivo
80,Not user friendly at all,negativo
81,The file was uploaded successfully,neutral
82,Truly a game changer,positivo
83,It made my work harder,negativo
84,No major changes were introduced,neutral
85,The performance is outstanding,positivo
86,It made my work harder,negativo
87,The server uptime is 99.9%,neutral
88,Very satisfied with the quality,positivo
89,Not user friendly at all,negativo
90,This update includes bug fixes,neutral
91,Highly recommend this tool,positivo
92,Extremely slow and unresponsive,negativo
93,This update includes bug fixes,neutral
94,Truly a game changer,positivo
95,I would not recommend it,negativo
96,This update includes bug fixes,neutral
97,Highly recommend this tool,positivo
98,It made my work harder,negativo
99,System maintenance will occur tonight,neutral
100,Very satisfied with the quality,positivo
101,Not user friendly at all,negativo
102,The server uptime is 99.9%,neutral
103,Truly a game changer,positivo
104,Very disappointed with the performance,negativo
105,Documentation has been updated,neutral
106,This platform helped me grow,positivo
107,It made my work harder,negativo
108,This update includes bug fixes,neutral
109,Amazing experience with the service,positivo
110,Extremely slow and unresponsive,negativo
111,Documentation has been updated,neutral
112,Amazing experience with the service,positivo
113,I would not recommend it,negativo
114,The server uptime is 99.9%,neutral
115,Excellent usability and speed,positivo
116,Extremely slow and unresponsive,negativo
117,User logged in from a new device,neutral
118,Truly a game changer,positivo
119,This is the worst tool I've used,negativo
120,System maintenance will occur tonight,neutral
121,Truly a game changer,positivo
122,Terrible experience,negativo
123,Documentation has been updated,neutral
124,The performance is outstanding,positivo
125,It made my work harder,negativo
126,Version 2.1 is now available,neutral
127,I love this product,positivo
128,Extremely slow and unresponsive,negativo
129,Version 2.1 is now available,neutral
130,Excellent usability and speed,positivo
131,Extremely slow and unresponsive,negativo
132,Version 2.1 is now available,neutral
133,Everything works perfectly,positivo
134,Poor customer service,negativo
135,User logged in from a new device,neutral
136,Highly recommend this tool,positivo
137,I would not recommend it,negativo
138,The file was uploaded successfully,neutral
139,Everything works perfectly,positivo
140,Extremely slow and unresponsive,negativo
141,The meeting is scheduled for 10 AM,neutral
142,Truly a game changer,positivo
143,Terrible experience,negativo
144,This update includes bug fixes,neutral
145,Excellent usability and speed,positivo
146,This is the worst tool I've used,negativo
147,The file was uploaded successfully,neutral
148,The performance is outstanding,positivo
149,It made my work harder,negativo
150,User logged in from a new device,neutral
151,I love this product,positivo
152,Poor customer service,negativo
153,No major changes were introduced,neutral
154,Truly a game changer,positivo
155,Poor customer service,negativo
156,The project deadline is next Monday,neutral
157,The performance is outstanding,positivo
158,Poor customer service,negativo
159,System maintenance will occur tonight,neutral
160,The performance is outstanding,positivo
161,Very disappointed with the performance,negativo
162,The meeting is scheduled for 10 AM,neutral
163,I love this product,positivo
164,It made my work harder,negativo
165,No major changes were introduced,neutral
166,This platform helped me grow,positivo
167,Not user friendly at all,negativo
168,User logged in from a new device,neutral
169,The performance is outstanding,positivo
170,Very disappointed with the performance,negativo
171,The project deadline is next Monday,neutral
172,Highly recommend this tool,positivo
173,Keeps crashing every time,negativo
174,Version 2.1 is now available,neutral
175,Great support from the team,positivo
176,Very disappointed with the performance,negativo
177,Version 2.1 is now available,neutral
178,The performance is outstanding,positivo
179,Very disappointed with the performance,negativo
180,The file was uploaded successfully,neutral
181,Excellent usability and speed,positivo
182,Very disappointed with the performance,negativo
183,User logged in from a new device,neutral
184,This platform helped me grow,positivo
185,I would not recommend it,negativo
186,No major changes were introduced,neutral
187,Everything works perfectly,positivo
188,It made my work harder,negativo
189,The meeting is scheduled for 10 AM,neutral
190,Truly a game changer,positivo
191,This is the worst tool I've used,negativo
192,Documentation has been updated,neutral
193,Very satisfied with the quality,positivo
194,Terrible experience,negativo
195,Version 2.1 is now available,neutral
196,Everything works perfectly,positivo
197,Not user friendly at all,negativo
198,The server uptime is 99.9%,neutral
199,Great support from the team,positivo
200,Very disappointed with the performance,negativo
201,The project deadline is next Monday,neutral
202,Great support from the team,positivo
203,It made my work harder,negativo
204,No major changes were introduced,neutral
205,The performance is outstanding,positivo
206,It made my work harder,negativo
207,The project deadline is next Monday,neutral
208,Highly recommend this tool,positivo
209,Poor customer service,negativo
210,No major changes were introduced,neutral
211,This platform helped me grow,positivo
212,Not user friendly at all,negativo
213,System maintenance will occur tonight,neutral
214,Highly recommend this tool,positivo
215,This is the worst tool I've used,negativo
216,This update includes bug fixes,neutral
217,Highly recommend this tool,positivo
218,Keeps crashing every time,negativo
219,Documentation has been updated,neutral
220,Great support from the team,positivo
221,Too many bugs and errors,negativo
222,System maintenance will occur tonight,neutral
223,Everything works perfectly,positivo
224,It made my work harder,negativo
225,The server uptime is 99.9%,neutral
226,This platform helped me grow,positivo
227,Poor customer service,negativo
228,This update includes bug fixes,neutral
229,Excellent usability and speed,positivo
230,Not user friendly at all,negativo
231,The server uptime is 99.9%,neutral
232,Very satisfied with the quality,positivo
233,Too many bugs and errors,negativo
234,The file was uploaded successfully,neutral
235,The performance is outstanding,positivo
236,I would not recommend it,negativo
237,The meeting is scheduled for 10 AM,neutral
238,Highly recommend this tool,positivo
239,I would not recommend it,negativo
240,The project deadline is next Monday,neutral
241,Amazing experience with the service,positivo
242,Not user friendly at all,negativo
243,User logged in from a new device,neutral
244,This platform helped me grow,positivo
245,Not user friendly at all,negativo
246,The file was uploaded successfully,neutral
247,Everything works perfectly,positivo
248,Not user friendly at all,negativo
249,Documentation has been updated,neutral
250,Amazing experience with the service,positivo
251,Too many bugs and errors,negativo
252,Documentation has been updated,neutral
253,This platform helped me grow,positivo
254,This is the worst tool I've used,negativo
255,System maintenance will occur tonight,neutral
256,The performance is outstanding,positivo
257,Poor customer service,negativo
258,No major changes were introduced,neutral
259,Truly a game changer,positivo
260,Keeps crashing every time,negativo
261,The server uptime is 99.9%,neutral
262,Amazing experience with the service,positivo
263,Extremely slow and unresponsive,negativo
264,No major changes were introduced,neutral
265,Excellent usability and speed,positivo
266,Too many bugs and errors,negativo
267,The project deadline is next Monday,neutral
268,Very satisfied with the quality,positivo
269,Too many bugs and errors,negativo
270,No major changes were introduced,neutral
271,Amazing experience with the service,positivo
272,Keeps crashing every time,negativo
273,No major changes were introduced,neutral
274,I love this product,positivo
275,Not user friendly at all,negativo
276,The file was uploaded successfully,neutral
277,Everything works perfectly,positivo
278,Terrible experience,negativo
279,The meeting is scheduled for 10 AM,neutral
280,Amazing experience with the service,positivo
281,Keeps crashing every time,negativo
282,User logged in from a new device,neutral
283,Great support from the team,positivo
284,Terrible experience,negativo
285,Documentation has been updated,neutral
286,The performance is outstanding,positivo
287,Keeps crashing every time,negativo
288,System maintenance will occur tonight,neutral
289,Highly recommend this tool,positivo
290,It made my work harder,negativo
291,System maintenance will occur tonight,neutral
292,Great support from the team,positivo
293,Keeps crashing every time,negativo
294,Version 2.1 is now available,neutral
295,This platform helped me grow,positivo
296,Very disappointed with the performance,negativo
297,The meeting is scheduled for 10 AM,neutral
298,The performance is outstanding,positivo
299,Not user friendly at all,negativo
300,System maintenance will occur tonight,neutral
301,Amazing experience with the service,positivo
302,Extremely slow and unresponsive,negativo
303,User logged in from a new device,neutral
304,I love this product,positivo
305,Poor customer service,negativo
306,The project deadline is next Monday,neutral
307,I love this product,positivo
308,This is the worst tool I've used,negativo
309,User logged in from a new device,neutral
310,Truly a game changer,positivo
311,Extremely slow and unresponsive,negativo
312,Documentation has been updated,neutral
313,Highly recommend this tool,positivo
314,I would not recommend it,negativo
315,This update includes bug fixes,neutral
316,Truly a game changer,positivo
317,Keeps crashing every time,negativo
318,User logged in from a new device,neutral
319,I love this product,positivo
320,Poor customer service,negativo
321,The project deadline is next Monday,neutral
322,Amazing experience with the service,positivo
323,Too many bugs and errors,negativo
324,Version 2.1 is now available,neutral
