id,texto,sentimiento,fuente,version
1,no estuvo mal y termino ayudando,positivo,curated,v2_curated
2,tuvo una demora pequena pero salio bien,positivo,curated,v2_curated
3,resolvio lo principal sin tanta vuelta,positivo,curated,v2_curated
4,me dejo una impresion bastante buena,positivo,curated,v2_curated
5,funciono mejor de lo que esperaba,positivo,curated,v2_curated
6,fue claro cuando mas lo necesitaba,positivo,curated,v2_curated
7,avanzo lento al inicio pero cerro bien,positivo,curated,v2_curated
8,me permitio completar la tarea sin problema,positivo,curated,v2_curated
9,la respuesta fue corta pero util,positivo,curated,v2_curated
10,el resultado quedo correcto,positivo,curated,v2_curated
11,la guia aclaro casi todas mis dudas,positivo,curated,v2_curated
12,la plataforma respondio de forma estable,positivo,curated,v2_curated
13,el pedido llego completo y cuidado,positivo,curated,v2_curated
14,el soporte entendio la situacion,positivo,curated,v2_curated
15,la gestion fue simple y ordenada,positivo,curated,v2_curated
16,el proceso se sintio confiable,positivo,curated,v2_curated
17,la informacion fue suficiente para decidir,positivo,curated,v2_curated
18,la compra fue tranquila hasta el cierre,positivo,curated,v2_curated
19,el producto cumplio con lo necesario,positivo,curated,v2_curated
20,la entrega estuvo dentro de lo esperado,positivo,curated,v2_curated
21,la atencion fue amable sin exagerar,positivo,curated,v2_curated
22,el sistema guardo todo correctamente,positivo,curated,v2_curated
23,la solucion fue sencilla y efectiva,positivo,curated,v2_curated
24,el panel facilito revisar el avance,positivo,curated,v2_curated
25,el seguimiento llego a tiempo,positivo,curated,v2_curated
26,la experiencia resulto comoda,positivo,curated,v2_curated
27,la respuesta aclaro el punto clave,positivo,curated,v2_curated
28,el tramite quedo resuelto,positivo,curated,v2_curated
29,el servicio mantuvo buen ritmo,positivo,curated,v2_curated
30,la herramienta simplifico el trabajo,positivo,curated,v2_curated
31,el mensaje de confirmacion fue suficiente,positivo,curated,v2_curated
32,la revision ayudo a corregir la duda,positivo,curated,v2_curated
33,el flujo fue facil de seguir,positivo,curated,v2_curated
34,el cambio solicitado quedo aplicado,positivo,curated,v2_curated
35,la comunicacion fue adecuada,positivo,curated,v2_curated
36,el resultado fue util para continuar,positivo,curated,v2_curated
37,la plataforma permitio terminar rapido,positivo,curated,v2_curated
38,el producto funciono desde el primer uso,positivo,curated,v2_curated
39,la asesoria fue practica,positivo,curated,v2_curated
40,el estado se actualizo correctamente,positivo,curated,v2_curated
41,no me disgusto el resultado final,positivo,curated,v2_curated
42,no tuve inconvenientes importantes,positivo,curated,v2_curated
43,pudo mejorar detalles pero cumplio,positivo,curated,v2_curated
44,la espera valio la pena,positivo,curated,v2_curated
45,me sirvio para resolver la solicitud,positivo,curated,v2_curated
46,fue mejor que la opcion anterior,positivo,curated,v2_curated
47,la explicacion quedo entendible,positivo,curated,v2_curated
48,el pedido se manejo con cuidado,positivo,curated,v2_curated
49,la herramienta respondio sin fallar,positivo,curated,v2_curated
50,la experiencia cerro de forma positiva,positivo,curated,v2_curated
51,"La verdad, no estuvo mal y termino ayudando",positivo,curated,v2_curated
52,"La verdad, tuvo una demora pequena pero salio bien",positivo,curated,v2_curated
53,"La verdad, resolvio lo principal sin tanta vuelta",positivo,curated,v2_curated
54,"La verdad, me dejo una impresion bastante buena",positivo,curated,v2_curated
55,"La verdad, funciono mejor de lo que esperaba",positivo,curated,v2_curated
56,"La verdad, fue claro cuando mas lo necesitaba",positivo,curated,v2_curated
57,"La verdad, avanzo lento al inicio pero cerro bien",positivo,curated,v2_curated
58,"La verdad, me permitio completar la tarea sin problema",positivo,curated,v2_curated
59,"La verdad, la respuesta fue corta pero util",positivo,curated,v2_curated
60,"La verdad, el resultado quedo correcto",positivo,curated,v2_curated
61,"La verdad, la guia aclaro casi todas mis dudas",positivo,curated,v2_curated
62,"La verdad, la plataforma respondio de forma estable",positivo,curated,v2_curated
63,"La verdad, el pedido llego completo y cuidado",positivo,curated,v2_curated
64,"La verdad, el soporte entendio la situacion",positivo,curated,v2_curated
65,"La verdad, la gestion fue simple y ordenada",positivo,curated,v2_curated
66,"La verdad, el proceso se sintio confiable",positivo,curated,v2_curated
67,"La verdad, la informacion fue suficiente para decidir",positivo,curated,v2_curated
68,"La verdad, la compra fue tranquila hasta el cierre",positivo,curated,v2_curated
69,"La verdad, el producto cumplio con lo necesario",positivo,curated,v2_curated
70,"La verdad, la entrega estuvo dentro de lo esperado",positivo,curated,v2_curated
71,"La verdad, la atencion fue amable sin exagerar",positivo,curated,v2_curated
72,"La verdad, el sistema guardo todo correctamente",positivo,curated,v2_curated
73,"La verdad, la solucion fue sencilla y efectiva",positivo,curated,v2_curated
74,"La verdad, el panel facilito revisar el avance",positivo,curated,v2_curated
75,"La verdad, el seguimiento llego a tiempo",positivo,curated,v2_curated
76,"La verdad, la experiencia resulto comoda",positivo,curated,v2_curated
77,"La verdad, la respuesta aclaro el punto clave",positivo,curated,v2_curated
78,"La verdad, el tramite quedo resuelto",positivo,curated,v2_curated
79,"La verdad, el servicio mantuvo buen ritmo",positivo,curated,v2_curated
80,"La verdad, la herramienta simplifico el trabajo",positivo,curated,v2_curated
81,"La verdad, el mensaje de confirmacion fue suficiente",positivo,curated,v2_curated
82,"La verdad, la revision ayudo a corregir la duda",positivo,curated,v2_curated
83,"La verdad, el flujo fue facil de seguir",positivo,curated,v2_curated
84,"La verdad, el cambio solicitado quedo aplicado",positivo,curated,v2_curated
85,"La verdad, la comunicacion fue adecuada",positivo,curated,v2_curated
86,"La verdad, el resultado fue util para continuar",positivo,curated,v2_curated
87,"La verdad, la plataforma permitio terminar rapido",positivo,curated,v2_curated
88,"La verdad, el producto funciono desde el primer uso",positivo,curated,v2_curated
89,"La verdad, la asesoria fue practica",positivo,curated,v2_curated
90,"La verdad, el estado se actualizo correctamente",positivo,curated,v2_curated
91,"La verdad, no me disgusto el resultado final",positivo,curated,v2_curated
92,"La verdad, no tuve inconvenientes importantes",positivo,curated,v2_curated
93,"La verdad, pudo mejorar detalles pero cumplio",positivo,curated,v2_curated
